Número de Ordem;Índice de Frequência;Quantidade de CNPJs Completos;CNAE;Vigencia
2.761,91;7,8074;1;80.11-1/01;2025
2.764,95;7,8176;1;80.11-1/01;2025
2.767,99;7,8265;1;80.11-1/01;2025
2.771,03;7,838;1;80.11-1/01;2025
2.774,07;7,8534;1;80.11-1/01;2025
2.777,11;7,88;1;80.11-1/01;2025
2.780,16;7,8965;1;80.11-1/01;2025
2.783,20;7,9117;1;80.11-1/01;2025
2.786,24;7,9286;1;80.11-1/01;2025
2.789,28;7,9391;1;80.11-1/01;2025
2.792,32;7,9418;1;80.11-1/01;2025
2.795,36;7,9867;1;80.11-1/01;2025
2.798,40;8,016;1;80.11-1/01;2025
2.801,44;8,1647;1;80.11-1/01;2025
2.804,48;8,1869;1;80.11-1/01;2025
2.807,52;8,2136;1;80.11-1/01;2025
2.810,57;8,2418;1;80.11-1/01;2025
2.813,61;8,2988;1;80.11-1/01;2025
2.816,65;8,3636;1;80.11-1/01;2025
2.819,69;8,3818;1;80.11-1/01;2025
2.822,73;8,3945;1;80.11-1/01;2025
2.825,77;8,4034;1;80.11-1/01;2025
2.828,81;8,4181;1;80.11-1/01;2025
2.831,85;8,4228;1;80.11-1/01;2025
2.834,89;8,4507;1;80.11-1/01;2025
2.837,93;8,4656;1;80.11-1/01;2025
2.840,98;8,4708;1;80.11-1/01;2025
2.844,02;8,5046;1;80.11-1/01;2025
2.847,06;8,5623;1;80.11-1/01;2025
2.850,10;8,6138;1;80.11-1/01;2025
2.853,14;8,6238;1;80.11-1/01;2025
2.856,18;8,6894;1;80.11-1/01;2025
2.859,22;8,7336;1;80.11-1/01;2025
2.862,26;8,7559;1;80.11-1/01;2025
2.865,30;8,7591;1;80.11-1/01;2025
2.868,34;8,7671;1;80.11-1/01;2025
2.871,39;8,7687;1;80.11-1/01;2025
2.874,43;8,85;1;80.11-1/01;2025
2.877,47;8,8823;1;80.11-1/01;2025
2.880,51;8,8988;1;80.11-1/01;2025
2.883,55;8,9319;1;80.11-1/01;2025
2.886,59;9,0124;1;80.11-1/01;2025
2.889,63;9,0158;1;80.11-1/01;2025
2.892,67;9,0192;1;80.11-1/01;2025
2.895,71;9,0505;1;80.11-1/01;2025
2.898,75;9,1394;1;80.11-1/01;2025
2.901,80;9,1708;1;80.11-1/01;2025
2.904,84;9,1831;1;80.11-1/01;2025
2.907,88;9,1919;1;80.11-1/01;2025
2.910,92;9,2379;1;80.11-1/01;2025
2.913,96;9,2521;1;80.11-1/01;2025
2.917,00;9,3422;1;80.11-1/01;2025
2.920,04;9,3549;1;80.11-1/01;2025
2.923,08;9,3787;1;80.11-1/01;2025
2.926,12;9,4303;1;80.11-1/01;2025
2.929,16;9,4451;2;80.11-1/01;2025
2.935,25;9,4563;1;80.11-1/01;2025
2.938,29;9,4912;1;80.11-1/01;2025
2.941,33;9,52;1;80.11-1/01;2025
2.944,37;9,539;1;80.11-1/01;2025
2.947,41;9,5503;1;80.11-1/01;2025
2.950,45;9,5618;1;80.11-1/01;2025
2.953,49;9,5789;1;80.11-1/01;2025
2.956,53;9,5808;1;80.11-1/01;2025
2.959,57;9,5984;1;80.11-1/01;2025
2.962,61;9,6038;1;80.11-1/01;2025
2.965,66;9,6167;1;80.11-1/01;2025
2.968,70;9,6657;1;80.11-1/01;2025
2.971,74;9,6774;1;80.11-1/01;2025
2.974,78;9,7363;1;80.11-1/01;2025
2.977,82;9,7403;1;80.11-1/01;2025
2.980,86;9,7839;1;80.11-1/01;2025
2.983,90;9,8039;1;80.11-1/01;2025
2.986,94;9,8321;1;80.11-1/01;2025
2.989,98;9,8371;1;80.11-1/01;2025
2.993,02;9,8806;1;80.11-1/01;2025
2.996,07;9,8928;1;80.11-1/01;2025
2.999,11;9,8928;1;80.11-1/01;2025
