Número de Ordem;Índice de Gravidade;Quantidade de CNPJs Completos;CNAE;Vigencia
2.579,45;0,6967;1;80.11-1/01;2025
2.582,49;0,6972;1;80.11-1/01;2025
2.585,53;0,6975;1;80.11-1/01;2025
2.588,57;0,6995;1;80.11-1/01;2025
2.591,61;0,6997;1;80.11-1/01;2025
2.594,66;0,6999;1;80.11-1/01;2025
2.597,70;0,7029;1;80.11-1/01;2025
2.600,74;0,7036;1;80.11-1/01;2025
2.603,78;0,7051;1;80.11-1/01;2025
2.606,82;0,7058;1;80.11-1/01;2025
2.609,86;0,7078;1;80.11-1/01;2025
2.612,90;0,7141;1;80.11-1/01;2025
2.615,94;0,7151;1;80.11-1/01;2025
2.618,98;0,7242;1;80.11-1/01;2025
2.622,02;0,7317;1;80.11-1/01;2025
2.625,07;0,7347;1;80.11-1/01;2025
2.628,11;0,7382;1;80.11-1/01;2025
2.631,15;0,7393;1;80.11-1/01;2025
2.634,19;0,7408;1;80.11-1/01;2025
2.637,23;0,743;1;80.11-1/01;2025
2.640,27;0,7491;1;80.11-1/01;2025
2.643,31;0,752;1;80.11-1/01;2025
2.646,35;0,7536;1;80.11-1/01;2025
2.649,39;0,7557;1;80.11-1/01;2025
2.652,43;0,7579;1;80.11-1/01;2025
2.655,48;0,76;1;80.11-1/01;2025
2.658,52;0,7627;1;80.11-1/01;2025
2.661,56;0,7638;1;80.11-1/01;2025
2.664,60;0,7656;1;80.11-1/01;2025
2.667,64;0,7668;1;80.11-1/01;2025
2.670,68;0,7702;1;80.11-1/01;2025
2.673,72;0,771;1;80.11-1/01;2025
2.676,76;0,7716;1;80.11-1/01;2025
2.679,80;0,7742;1;80.11-1/01;2025
2.682,84;0,7795;1;80.11-1/01;2025
2.685,89;0,7807;1;80.11-1/01;2025
2.688,93;0,7818;1;80.11-1/01;2025
2.691,97;0,7827;1;80.11-1/01;2025
2.695,01;0,7838;1;80.11-1/01;2025
2.698,05;0,7853;1;80.11-1/01;2025
2.701,09;0,788;1;80.11-1/01;2025
2.704,13;0,7885;1;80.11-1/01;2025
2.707,17;0,7896;1;80.11-1/01;2025
2.710,21;0,7912;1;80.11-1/01;2025
2.713,25;0,7929;1;80.11-1/01;2025
2.716,30;0,7939;1;80.11-1/01;2025
2.719,34;0,7942;1;80.11-1/01;2025
2.722,38;0,7987;1;80.11-1/01;2025
2.725,42;0,8016;1;80.11-1/01;2025
2.728,46;0,8093;1;80.11-1/01;2025
2.731,50;0,8165;1;80.11-1/01;2025
2.734,54;0,8187;1;80.11-1/01;2025
2.737,58;0,8208;1;80.11-1/01;2025
2.740,62;0,8214;1;80.11-1/01;2025
2.743,66;0,8225;1;80.11-1/01;2025
2.746,70;0,8242;1;80.11-1/01;2025
2.749,75;0,8299;1;80.11-1/01;2025
2.752,79;0,8356;1;80.11-1/01;2025
2.755,83;0,8364;1;80.11-1/01;2025
2.758,87;0,8382;1;80.11-1/01;2025
2.761,91;0,8395;1;80.11-1/01;2025
2.764,95;0,8403;1;80.11-1/01;2025
2.767,99;0,8418;1;80.11-1/01;2025
2.771,03;0,8423;1;80.11-1/01;2025
2.774,07;0,844;1;80.11-1/01;2025
